ch.ethz.rse.integration.tests.Test_Loop_Long:TRACK_IN_RANGE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_2:TRACK_NON_NEGATIVE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_2:TRACK_IN_RANGE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_3:TRACK_NON_NEGATIVE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_3:TRACK_IN_RANGE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_4:TRACK_NON_NEGATIVE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_4:TRACK_IN_RANGE ERROR
ch.ethz.rse.integration.tests.Test_Loop_Long_4:NO_CRASH ERROR
ch.ethz.rse.integration.tests.Test_Loop_Safe:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Loop_Safe:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2:TRACK_IN_RANGE UNSAFE
ch.ethz.rse.integration.tests.Test_Loop_Unsafe:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Loop_Unused:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Nested_If:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Nested_If_2:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Nested_If_2:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Nonterm_End:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Nonterm_End_2:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Nonterm_End_2:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Overwrite_Numerical:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_If_2:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_Loop:TRACK_IN_RANGE UNSAFE
ch.ethz.rse.integration.tests.Test_Pointer_Assignment:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Pointer_Crash:NO_CRASH SAFE
ch.ethz.rse.integration.tests.Test_Pointer_Crash_2:NO_CRASH UNSAFE
ch.ethz.rse.integration.tests.Test_Pointer_Reassignment:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Pointer_Unused:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Assignment:TRACK_IN_RANGE ERROR
ch.ethz.rse.integration.tests.Test_Unreachable_Geq:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Loop:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Multiple:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Neq:TRACK_NON_NEGATIVE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Neq:TRACK_IN_RANGE SAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Nested:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable:TRACK_NON_NEGATIVE UNSAFE
ch.ethz.rse.integration.tests.Test_Unreachable_Reachable:TRACK_IN_RANGE UNSAFE
ch.ethz.rse.integration.tests.Test_Unrelated_Argument:TRACK_NON_NEGATIVE SAFE
